id,resumen,tags,categorias,presupuesto_aproximado,ruta,fecha_ingesta,fuente
0095499b681c8339,otra BBDD para nuevas funcionalidades y tenerlas a mano al ponerme a programar,,,,data/ideas/0095499b681c8339.md,2026-03-19T22:56:50.928957,telegram_texto
535ec5eabdc52f63,"crear otra herramienta que también optimice o lama o seguir creando funcionalidades en esta misma, no? que no sea solo para convocatorias sino que del voy a pasar ideas, tareas y q...",,,,data/ideas/535ec5eabdc52f63.md,2026-03-19T22:57:21.960024,telegram_audio
9307ef172b90d387,Innovación diaria con funcionalidades de listas guardables.,"Listas, Funcionalidad, Innovación, Día a día","Listas de Cosas, Gestión del Tiempo, Tecnología de la Información",,data/ideas/9307ef172b90d387.md,2026-03-20T00:14:38.367728,telegram_audio
d7a4e17aea8f4621,Función diaria documentando actividades.,"journal, daily, activities","Tecnología, Productividad",,data/ideas/d7a4e17aea8f4621.md,2026-03-20T00:14:47.285638,telegram_audio
bd1a17ea065c1eba,Propongo matrimonio a exmujer para celebrar juntos.,"amor, propuesta de matrimonio, exmujer",proposiciones de amor,Vacio,data/ideas/bd1a17ea065c1eba.md,2026-03-20T10:11:44.496963,telegram_audio
dfbda31a6b50088d,Proyecto iniciado en marzo de 2016 para la evaluación de 25 propuestas.,"evaluación, proyecto","Innovación, Reforma Pública",,data/ideas/dfbda31a6b50088d.md,2026-03-20T11:42:42.571775,telegram_audio
98e52d83c7da7bef,prueba audio 21 del 3 del 2026,,,,data/ideas/98e52d83c7da7bef.md,2026-03-20T12:45:59.958417,telegram_audio
e7fa392c18867911,"Bara tiempo empieza a calcular el tiempo de trabajo en un proyecto concreto, requiere del proyecto y hace un cálculo de cuando empieza, barra tiempo acaba cierra eso y lleva un cál...",,,,data/ideas/e7fa392c18867911.md,2026-03-20T12:50:18.703927,telegram_audio
2be317497dc54e7d,Descubre la cultura y tradiciones españolas a través de la producción y consumo de huevos.,"cocina española, huevos, tradiciones","cocina, educación, tradiciones culturales",,data/ideas/2be317497dc54e7d.md,2026-03-20T18:00:30.747940,telegram_audio
150f196df31a3339,"Proyecto para invertir en E-gramos, aumentando la productividad de los empleados.","E-gramos, Inversión, Productividad, Empleados","Tecnología de la información, Gestión empresarial, Productividad",,data/ideas/150f196df31a3339.md,2026-03-20T19:55:54.275326,telegram_audio
b073677751d94499,Proyecto para promover la velocidad en los gobiernos urbanos.,"urbanismo, velocidad, calidad de vida","urbanismo, calidad de vida",,data/ideas/b073677751d94499.md,2026-03-21T09:35:10.846506,telegram_audio
815ec14d30e4622b,investiga sintetizador modular,,,,data/ideas/815ec14d30e4622b.md,2026-03-21T09:40:29.346094,telegram_audio
637d87b2cffc78ad,Sincronización de ideas en tiempo real,"iniciativa, conexión, tecnología, innovación","Tecnología, Innovación",,data/ideas/Sincronización_de_ideas_en_tiempo.md,2026-03-21T20:01:38.774227,telegram_texto
0dc0ab995345b1e1,Subida de pruebas al Nextcloud,"nextcloud, subida-pruebas, gestion-de-datos","informatica, gestion-de-datos",,data/ideas/Subida_de_pruebas_al_Nextcloud.md,2026-03-21T20:09:16.161545,telegram_texto
c1aa50412a16b3a7,Sincronización de tres acciones en tiempo real,"sincronización, tiempo_real, trabajo_junto","tecnologia, desarrollo_de_aplicaciones, conexión_instantánea",,data/ideas/Sincronización_de_tres_acciones_en.md,2026-03-21T20:11:44.434014,telegram_texto
